Transaction Date,Transaction Details,Ref No,Amount (INR),Debit/Credit
02-02-2025,UBER INDIA SYSTEMS,ICRT0000005,172.50,DR
09-02-2025,FLIPKART,ICRT0000008,5159.62,DR
19-02-2025,SWIGGY,ICRT0000002,311.12,DR
19-02-2025,UBER INDIA SYSTEMS,ICRT0000006,394.74,DR
20-02-2025,REFUND-AMAZON INDIA,ICRT0000010,1950.76,CR
20-02-2025,SWIGGY,ICRT0000001,283.15,DR
25-02-2025,PAYMENT THANK YOU,ICRT0000009,7891.18,CR
26-02-2025,SWIGGY INSTAMART,ICRT0000003,547.60,DR
26-02-2025,UBER INDIA SYSTEMS,ICRT0000007,168.01,DR
27-02-2025,BLINKIT,ICRT0000004,854.44,DR
27-02-2025,REFUND-SWIGGY,ICRT0000011,1939.03,CR
