Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/06/25,NEFT CR-SBIN4683-ACME CORP SALARY,NEF0000001,01/06/25,,120000.00,469494.91
05/06/25,UPI-OLA-ola@paytm-747842026084-PAYMENT RECEIVED,NEF0000017,05/06/25,368.87,,469126.04
05/06/25,UPI-SWIGGY INSTAMART-swiggyinstamart@ybl-576266444796-PAYMENT RECEIVED,NEF0000007,05/06/25,773.77,,468352.27
06/06/25,NEFT DR-AXISCN5352-LANDLORD RENT,NEF0000002,06/06/25,35000.00,,433352.27
07/06/25,UPI-BLINKIT-blinkit@paytm-545386964769-COLLECT REQUEST,NEF0000006,07/06/25,875.60,,432476.67
08/06/25,ACH D-NETFLIX,NEF0000003,08/06/25,649.00,,431827.67
10/06/25,ACH D-SPOTIFY,NEF0000004,10/06/25,119.00,,431708.67
12/06/25,ACH D-ACT FIBERNET,NEF0000005,12/06/25,1049.00,,430659.67
12/06/25,UPI-SWIGGY INSTAMART-swiggyinstamart@ybl-279777594736-COLLECT REQUEST,NEF0000010,12/06/25,636.87,,430022.80
13/06/25,UPI-SWIGGY-swiggy@okhdfcbank-842018995729-COLLECT REQUEST,NEF0000008,13/06/25,309.85,,429712.95
13/06/25,UPI-ZOMATO-zomato@oksbi-408877180672-PAYMENT FROM PHONE,NEF0000009,13/06/25,508.34,,429204.61
14/06/25,POS 4648XXXX IKEA BANGALORE,NEF0000020,14/06/25,13690.87,,415513.74
17/06/25,UPI-ZOMATO-zomato@oksbi-130586292150-PAYMENT RECEIVED,NEF0000013,17/06/25,388.76,,415124.98
19/06/25,UPI-BESCOM-bescom@okhdfcbank-778759018230-PAYMENT FROM PHONE,NEF0000021,19/06/25,1815.43,,413309.55
20/06/25,UPI-SWIGGY-swiggy@paytm-225942501921-COLLECT REQUEST,NEF0000011,20/06/25,548.07,,412761.48
21/06/25,UPI-SWIGGY-swiggy@ybl-667741343954-COLLECT REQUEST,NEF0000012,21/06/25,605.59,,412155.89
23/06/25,UPI-OLA-ola@okhdfcbank-584665753840-PAYMENT FROM PHONE,NEF0000018,23/06/25,112.13,,412043.76
25/06/25,UPI-UBER INDIA SYSTEMS-uberindiasystems@paytm-784353909489-PAYMENT RECEIVED,NEF0000019,25/06/25,169.03,,411874.73
26/06/25,UPI-SWIGGY INSTAMART-swiggyinstamart@okhdfcbank-521528027521-PAYMENT FROM PHONE,NEF0000016,26/06/25,818.94,,411055.79
26/06/25,UPI-SWIGGY-swiggy@paytm-875279701940-COLLECT REQUEST,NEF0000015,26/06/25,350.90,,410704.89
27/06/25,TRANSFER-ICICI CREDIT CARD PAYMENT,NEF0000022,27/06/25,5140.83,,405564.06
27/06/25,UPI-BLINKIT-blinkit@oksbi-345213466367-PAYMENT FROM PHONE,NEF0000014,27/06/25,1021.99,,404542.07
30/06/25,NEFT CR-CITI0042-SAVINGS INTEREST CREDIT,NEF0000023,30/06/25,,134.51,404676.58
