Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/04/25,NEFT CR-AXISCN1400-ACME CORP SALARY,NEF0000001,01/04/25,,120000.00,344106.24
03/04/25,UPI-OLA-ola@oksbi-241388354666-PAYMENT RECEIVED,NEF0000014,03/04/25,337.29,,343768.95
04/04/25,NEFT DR-AXISCN8784-LANDLORD RENT,NEF0000002,04/04/25,35000.00,,308768.95
05/04/25,UPI-UBER INDIA SYSTEMS-uberindiasystems@oksbi-132150587583-COLLECT REQUEST,NEF0000013,05/04/25,439.96,,308328.99
08/04/25,ACH D-NETFLIX,NEF0000003,08/04/25,649.00,,307679.99
08/04/25,UPI-UBER INDIA SYSTEMS-uberindiasystems@oksbi-152320127777-COLLECT REQUEST,NEF0000015,08/04/25,400.89,,307279.10
10/04/25,ACH D-SPOTIFY,NEF0000004,10/04/25,119.00,,307160.10
10/04/25,UPI-SWIGGY-swiggy@oksbi-682687809473-PAYMENT RECEIVED,NEF0000007,10/04/25,549.14,,306610.96
11/04/25,UPI-OLA-ola@paytm-406571012708-COLLECT REQUEST,NEF0000016,11/04/25,169.35,,306441.61
12/04/25,ACH D-ACT FIBERNET,NEF0000005,12/04/25,1049.00,,305392.61
14/04/25,UPI-SWIGGY-swiggy@okhdfcbank-153534834134-PAYMENT RECEIVED,NEF0000006,14/04/25,528.62,,304863.99
16/04/25,UPI-BESCOM-bescom@axl-443445860556-PAYMENT FROM PHONE,NEF0000019,16/04/25,2716.98,,302147.01
18/04/25,UPI-SWIGGY-swiggy@paytm-188219282055-PAYMENT FROM PHONE,NEF0000010,18/04/25,437.25,,301709.76
19/04/25,UPI-ZOMATO-zomato@okhdfcbank-789276095704-PAYMENT FROM PHONE,NEF0000009,19/04/25,617.89,,301091.87
21/04/25,UPI-SWIGGY INSTAMART-swiggyinstamart@okhdfcbank-916727364232-COLLECT REQUEST,NEF0000008,21/04/25,861.62,,300230.25
21/04/25,UPI-UBER INDIA SYSTEMS-uberindiasystems@okhdfcbank-486340553307-PAYMENT FROM PHONE,NEF0000017,21/04/25,428.22,,299802.03
23/04/25,UPI-UBER INDIA SYSTEMS-uberindiasystems@oksbi-227429355441-PAYMENT RECEIVED,NEF0000018,23/04/25,219.86,,299582.17
26/04/25,UPI-BLINKIT-blinkit@ybl-527006264991-PAYMENT RECEIVED,NEF0000011,26/04/25,1011.21,,298570.96
27/04/25,TRANSFER-ICICI CREDIT CARD PAYMENT,NEF0000020,27/04/25,7826.88,,290744.08
28/04/25,UPI-SWIGGY-swiggy@ybl-490596101232-COLLECT REQUEST,NEF0000012,28/04/25,627.28,,290116.80
30/04/25,NEFT CR-CITI0042-SAVINGS INTEREST CREDIT,NEF0000021,30/04/25,,274.01,290390.81
