Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/02/25,NEFT CR-SBIN7118-ACME CORP SALARY,NEF0000001,01/02/25,,120000.00,224129.51
01/02/25,UPI-SWIGGY-swiggy@ybl-464469358785-PAYMENT FROM PHONE,NEF0000007,01/02/25,400.03,,223729.48
03/02/25,UPI-SWIGGY-swiggy@okhdfcbank-745233429651-PAYMENT FROM PHONE,NEF0000006,03/02/25,471.56,,223257.92
05/02/25,NEFT DR-SBIN8397-LANDLORD RENT,NEF0000002,05/02/25,35000.00,,188257.92
06/02/25,UPI-UBER INDIA SYSTEMS-uberindiasystems@okhdfcbank-651803604970-PAYMENT RECEIVED,NEF0000014,06/02/25,325.52,,187932.40
07/02/25,UPI-OLA-ola@axl-164290117190-PAYMENT RECEIVED,NEF0000013,07/02/25,150.72,,187781.68
08/02/25,ACH D-NETFLIX,NEF0000003,08/02/25,649.00,,187132.68
10/02/25,ACH D-SPOTIFY,NEF0000004,10/02/25,119.00,,187013.68
11/02/25,UPI-SWIGGY INSTAMART-swiggyinstamart@okhdfcbank-622165852995-PAYMENT FROM PHONE,NEF0000008,11/02/25,480.80,,186532.88
12/02/25,ACH D-ACT FIBERNET,NEF0000005,12/02/25,1049.00,,185483.88
12/02/25,UPI-SWIGGY-swiggy@paytm-371052246567-PAYMENT FROM PHONE,NEF0000010,12/02/25,314.49,,185169.39
12/02/25,UPI-UBER INDIA SYSTEMS-uberindiasystems@okhdfcbank-736712646676-PAYMENT RECEIVED,NEF0000015,12/02/25,274.14,,184895.25
13/02/25,UPI-SWIGGY INSTAMART-swiggyinstamart@oksbi-565378164447-COLLECT REQUEST,NEF0000009,13/02/25,449.57,,184445.68
17/02/25,UPI-BESCOM-bescom@paytm-273022703378-COLLECT REQUEST,NEF0000018,17/02/25,3385.61,,181060.07
19/02/25,UPI-ZOMATO-zomato@oksbi-185569774204-COLLECT REQUEST,NEF0000011,19/02/25,476.48,,180583.59
23/02/25,UPI-OLA-ola@ybl-602551183219-PAYMENT RECEIVED,NEF0000017,23/02/25,249.82,,180333.77
23/02/25,UPI-SWIGGY INSTAMART-swiggyinstamart@oksbi-168300472052-PAYMENT FROM PHONE,NEF0000012,23/02/25,830.92,,179502.85
25/02/25,TRANSFER-ICICI CREDIT CARD PAYMENT,NEF0000019,25/02/25,7891.18,,171611.67
26/02/25,UPI-OLA-ola@paytm-388787957213-COLLECT REQUEST,NEF0000016,26/02/25,185.44,,171426.23
28/02/25,NEFT CR-CITI0042-SAVINGS INTEREST CREDIT,NEF0000020,28/02/25,,113.94,171540.17
