Transaction Date,Transaction Details,Ref No,Amount (INR),Debit/Credit
01-06-2025,ZOMATO,ICRT0000001,401.59,DR
04-06-2025,REFUND-AMAZON INDIA,ICRT0000015,1363.07,CR
07-06-2025,OLA,ICRT0000005,211.37,DR
08-06-2025,REFUND-AMAZON INDIA,ICRT0000014,1337.63,CR
10-06-2025,OLA,ICRT0000007,280.85,DR
11-06-2025,OLA,ICRT0000008,205.44,DR
11-06-2025,UBER INDIA SYSTEMS,ICRT0000006,412.64,DR
14-06-2025,SWIGGY INSTAMART,ICRT0000002,844.51,DR
16-06-2025,OLA,ICRT0000009,176.53,DR
18-06-2025,UBER INDIA SYSTEMS,ICRT0000010,328.52,DR
20-06-2025,BLINKIT,ICRT0000003,1168.46,DR
20-06-2025,OLA,ICRT0000011,226.51,DR
20-06-2025,SWIGGY INSTAMART,ICRT0000004,779.39,DR
26-06-2025,OLA,ICRT0000012,105.02,DR
27-06-2025,PAYMENT THANK YOU,ICRT0000013,5140.83,CR
