Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/01/25,NEFT CR-SBIN2824-ACME CORP SALARY,NEF0000001,01/01/25,,120000.00,170000.00
03/01/25,UPI-SWIGGY-swiggy@okhdfcbank-342319992484-COLLECT REQUEST,NEF0000007,03/01/25,617.81,,169382.19
03/01/25,UPI-SWIGGY-swiggy@oksbi-130201276659-PAYMENT FROM PHONE,NEF0000006,03/01/25,607.41,,168774.78
04/01/25,NEFT DR-SBIN5506-LANDLORD RENT,NEF0000002,04/01/25,35000.00,,133774.78
04/01/25,UPI-OLA-ola@okhdfcbank-847373620112-PAYMENT RECEIVED,NEF0000016,04/01/25,273.38,,133501.40
05/01/25,POS 5080XXXX CROMA ELECTRONICS,NEF0000019,05/01/25,14530.21,,118971.19
08/01/25,ACH D-NETFLIX,NEF0000003,08/01/25,649.00,,118322.19
10/01/25,ACH D-SPOTIFY,NEF0000004,10/01/25,119.00,,118203.19
10/01/25,UPI-OLA-ola@paytm-653930041483-PAYMENT FROM PHONE,NEF0000017,10/01/25,151.82,,118051.37
11/01/25,UPI-ZOMATO-zomato@oksbi-491257417623-COLLECT REQUEST,NEF0000008,11/01/25,420.59,,117630.78
12/01/25,ACH D-ACT FIBERNET,NEF0000005,12/01/25,1049.00,,116581.78
13/01/25,UPI-SWIGGY-swiggy@oksbi-705928833000-COLLECT REQUEST,NEF0000009,13/01/25,551.08,,116030.70
14/01/25,UPI-BLINKIT-blinkit@ybl-826046287257-PAYMENT FROM PHONE,NEF0000010,14/01/25,1056.74,,114973.96
17/01/25,UPI-SWIGGY-swiggy@ybl-726820024292-PAYMENT RECEIVED,NEF0000013,17/01/25,456.73,,114517.23
18/01/25,UPI-BLINKIT-blinkit@axl-394936156580-PAYMENT RECEIVED,NEF0000011,18/01/25,513.19,,114004.04
19/01/25,UPI-UBER INDIA SYSTEMS-uberindiasystems@axl-757132452561-COLLECT REQUEST,NEF0000018,19/01/25,220.16,,113783.88
19/01/25,UPI-ZOMATO-zomato@paytm-858663022120-PAYMENT RECEIVED,NEF0000012,19/01/25,307.08,,113476.80
20/01/25,UPI-BESCOM-bescom@oksbi-336070141120-PAYMENT RECEIVED,NEF0000020,20/01/25,3179.88,,110296.92
27/01/25,UPI-SWIGGY INSTAMART-swiggyinstamart@axl-643354278056-PAYMENT FROM PHONE,NEF0000015,27/01/25,674.47,,109622.45
27/01/25,UPI-ZOMATO-zomato@okhdfcbank-390077698664-PAYMENT RECEIVED,NEF0000014,27/01/25,373.59,,109248.86
28/01/25,TRANSFER-ICICI CREDIT CARD PAYMENT,NEF0000021,28/01/25,5419.44,,103829.42
31/01/25,NEFT CR-CITI0042-SAVINGS INTEREST CREDIT,NEF0000022,31/01/25,,300.09,104129.51
