Transaction Date,Transaction Details,Ref No,Amount (INR),Debit/Credit
01-01-2025,OLA,ICRT0000007,351.85,DR
06-01-2025,SWIGGY,ICRT0000001,354.63,DR
13-01-2025,SWIGGY,ICRT0000002,402.56,DR
15-01-2025,OLA,ICRT0000008,375.79,DR
17-01-2025,BLINKIT,ICRT0000004,1307.04,DR
18-01-2025,UBER INDIA SYSTEMS,ICRT0000009,193.31,DR
21-01-2025,SWIGGY,ICRT0000003,649.20,DR
22-01-2025,UBER INDIA SYSTEMS,ICRT0000011,438.49,DR
23-01-2025,REFUND-SWIGGY,ICRT0000013,1245.93,CR
23-01-2025,UBER INDIA SYSTEMS,ICRT0000010,277.85,DR
24-01-2025,SWIGGY INSTAMART,ICRT0000005,718.56,DR
27-01-2025,SWIGGY,ICRT0000006,350.16,DR
28-01-2025,PAYMENT THANK YOU,ICRT0000012,5419.44,CR
