Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/05/25,NEFT CR-SBIN4978-ACME CORP SALARY,NEF0000001,01/05/25,,120000.00,410390.81
03/05/25,POS 4153XXXX FLIPKART,NEF0000016,03/05/25,4015.16,,406375.65
03/05/25,UPI-UBER INDIA SYSTEMS-uberindiasystems@ybl-687156468494-PAYMENT FROM PHONE,NEF0000013,03/05/25,356.50,,406019.15
04/05/25,NEFT DR-SBIN5941-LANDLORD RENT,NEF0000002,04/05/25,35000.00,,371019.15
04/05/25,UPI-SWIGGY INSTAMART-swiggyinstamart@paytm-606070444418-PAYMENT RECEIVED,NEF0000007,04/05/25,842.51,,370176.64
06/05/25,UPI-SWIGGY-swiggy@paytm-654346948105-PAYMENT RECEIVED,NEF0000006,06/05/25,477.54,,369699.10
08/05/25,ACH D-NETFLIX,NEF0000003,08/05/25,649.00,,369050.10
08/05/25,UPI-UBER INDIA SYSTEMS-uberindiasystems@okhdfcbank-854322725516-PAYMENT FROM PHONE,NEF0000015,08/05/25,382.60,,368667.50
10/05/25,ACH D-SPOTIFY,NEF0000004,10/05/25,119.00,,368548.50
12/05/25,ACH D-ACT FIBERNET,NEF0000005,12/05/25,1049.00,,367499.50
12/05/25,UPI-OLA-ola@paytm-375098568281-COLLECT REQUEST,NEF0000014,12/05/25,253.81,,367245.69
12/05/25,UPI-SWIGGY INSTAMART-swiggyinstamart@okhdfcbank-453340068343-PAYMENT FROM PHONE,NEF0000008,12/05/25,809.31,,366436.38
18/05/25,UPI-BESCOM-bescom@ybl-414526795461-PAYMENT RECEIVED,NEF0000018,18/05/25,1941.12,,364495.26
18/05/25,UPI-BLINKIT-blinkit@okhdfcbank-711071920529-PAYMENT FROM PHONE,NEF0000010,18/05/25,746.08,,363749.18
19/05/25,POS 5216XXXX AMAZON INDIA,NEF0000017,19/05/25,6283.61,,357465.57
19/05/25,UPI-ZOMATO-zomato@oksbi-711983781912-PAYMENT FROM PHONE,NEF0000011,19/05/25,256.10,,357209.47
20/05/25,UPI-SWIGGY INSTAMART-swiggyinstamart@paytm-633356940935-PAYMENT FROM PHONE,NEF0000009,20/05/25,640.92,,356568.55
24/05/25,UPI-BLINKIT-blinkit@axl-230204286982-PAYMENT RECEIVED,NEF0000012,24/05/25,602.17,,355966.38
28/05/25,TRANSFER-ICICI CREDIT CARD PAYMENT,NEF0000019,28/05/25,6589.07,,349377.31
31/05/25,NEFT CR-CITI0042-SAVINGS INTEREST CREDIT,NEF0000020,31/05/25,,117.60,349494.91
