Transaction Date,Transaction Details,Ref No,Amount (INR),Debit/Credit
03-05-2025,REFUND-FLIPKART,ICRT0000017,893.51,CR
03-05-2025,UBER INDIA SYSTEMS,ICRT0000009,155.73,DR
05-05-2025,OLA,ICRT0000008,132.94,DR
09-05-2025,OLA,ICRT0000010,133.61,DR
12-05-2025,BLINKIT,ICRT0000001,1107.28,DR
14-05-2025,SWIGGY,ICRT0000002,432.79,DR
16-05-2025,OLA,ICRT0000011,127.91,DR
23-05-2025,ZOMATO,ICRT0000004,465.02,DR
25-05-2025,BLINKIT,ICRT0000005,920.31,DR
25-05-2025,BLINKIT,ICRT0000006,761.12,DR
26-05-2025,OLA,ICRT0000012,298.67,DR
26-05-2025,REFUND-FLIPKART,ICRT0000018,1314.47,CR
27-05-2025,SWIGGY INSTAMART,ICRT0000003,787.43,DR
28-05-2025,PAYMENT THANK YOU,ICRT0000016,6589.07,CR
29-05-2025,UBER INDIA SYSTEMS,ICRT0000015,256.17,DR
30-05-2025,OLA,ICRT0000013,247.62,DR
31-05-2025,OLA,ICRT0000014,200.06,DR
31-05-2025,SWIGGY INSTAMART,ICRT0000007,562.41,DR
